Nottingham Forest
Fulham
Marseille
Leicester City
Brighton & Hove Albion
Eintracht Frankfurt
Everton
AFC Bournemouth
Leeds United
Motherwell
Crystal Palace
Portsmouth
Preston North End
Manchester City
West Ham United
Chelsea
Aston Villa
Newcastle United
Burnley
Vitesse
Brentford
Norwich City
Watford
Morecambe
Arsenal
K-League XI
Rangers
Southampton
Wolverhampton Wanderers
Stoke City
Marine
Sheffield United
Wycombe Wanderers
West Bromwich Albion
Wolfsberger AC
Dinamo Zagreb
Colchester United
Milton Keynes Dons
Paços Ferreira
Mura
Ipswich Town
Reading
Birmingham City
Lokomotiv Plovdiv
Shkendija
Maccabi Haifa
Manchester United
LASK
Ludogorets
Antwerp
Huddersfield Town
Ajax
Juventus
Real Madrid
Bayern Munich
Red Star Belgrade
Olympiakos
Middlesbrough
Roma
AC Milan
Cardiff City
PSV
Inter Milan
Tranmere Rovers
Borussia Dortmund
Barnsley
APOEL
Liverpool
Swansea City
AFC Wimbledon
Newport County
Rochdale
CSKA Moscow
Hull City
Millwall
Kitchee
PSG
Qarabag
Monaco
Sunderland
Fiorentina
Gillingham
Queens Park Rangers
Malaysia B
Sydney
Anderlecht
Dnipro
Toronto
Chicago Fire
Celtic
Schalke 04
AEL
Asteras Tripolis
Partizan
South China
Cambridge City
Dinamo Tbilisi
Tromsø
Anzhi
Sheriff
Carlisle United
Maribor
Panathinaikos
Coventry City
Lyon
Shamrock Rovers
Rubin Kazan
Blackburn Rovers
Bolton Wanderers
Cheltenham Town
Wigan Athletic
Stevenage
New York RB
Werder Bremen
Charlton Athletic
Orlando Pirates
Athletic Bilbao
Hearts
Peterborough United
Benfica
Young Boys
Twente
Exeter City
Doncaster Rovers
Wisła Kraków
NEC
Derby County
Anorthosis
Blackpool
Hapoel Tel Aviv
AaB
Slavia Prague
Besiktas
Club Brugge
Port Vale
Bayer Leverkusen
Dinamo Bucureşti
Southend United
Sporting Braga
Oldham Athletic
Wimbledon
Bradford City
Sheffield Wednesday
Luton Town
Notts County
Oxford United
Bristol City
Northampton Town
Leyton Orient
Grimsby Town
Bury
Bradford (Park Avenue)
Sporting Lisbon
Nice
Sevilla
Rennes
Barcelona
Gent
Seattle Sounders
Swindon Town
Espanyol
Lazio
Basel
Como
LA Galaxy
PAOK
SJ Earthquakes
Shakhtar Donetsk
Spartak Moscow
RB Leipzig
Girona
Atletico Madrid
MLS All-Stars
Valencia
Kaizer Chiefs
Villarreal
Sutton United
Udinese
Getafe
